conversation_id,condition,model_a,model_b,prompt_id,num_turns,repetitiveness,coherence,hedging,response_length_trend,vocab_diversity,question_freq,formality,sentiment_drift,turn_length_variance,detective_guess,detective_correct
conv_ai_ai_detective_claudesonnet4_grok41fast_D1_1775424532,ai_ai_detective,claude-sonnet-4,grok-4-1-fast,D1,20,0.0057,0.1523,0.3433,1.4912,0.3248,4.5,0.008,-0.0175,90.1174,ai,True
conv_ai_ai_detective_claudesonnet4_grok41fast_D2_1775424798,ai_ai_detective,claude-sonnet-4,grok-4-1-fast,D2,20,0.0049,0.1579,0.5223,6.1333,0.368,3.6,0.0059,0.0463,74.3456,ai,True
conv_ai_ai_detective_claudesonnet4_grok41fast_D5_1775424401,ai_ai_detective,claude-sonnet-4,grok-4-1-fast,D5,20,0.0131,0.1458,0.3203,1.0526,0.3675,3.3,0.0263,0.0685,68.2086,human,False
conv_ai_ai_detective_claudesonnet4_llama4scout_D1_1775424273,ai_ai_detective,claude-sonnet-4,llama-4-scout,D1,20,0.0278,0.2042,1.0044,-2.4474,0.2072,1.35,0.0613,0.0095,102.4653,ai,True
conv_ai_ai_detective_claudesonnet4_llama4scout_D3_1775424100,ai_ai_detective,claude-sonnet-4,llama-4-scout,D3,20,0.0218,0.2361,0.9957,1.7158,0.2177,1.1,0.0372,0.0805,83.5346,human,False
conv_ai_ai_detective_claudesonnet4_llama4scout_D5_1775423927,ai_ai_detective,claude-sonnet-4,llama-4-scout,D5,20,0.0238,0.2465,1.5043,0.1667,0.1948,1.7,0.0355,0.0038,37.4619,human,False
conv_ai_ai_detective_gemini25flash_claudesonnet4_D1_1775425474,ai_ai_detective,gemini-2.5-flash,claude-sonnet-4,D1,20,0.0149,0.213,0.7031,10.6825,0.1995,4.95,0.0369,0.0231,104.2776,ai,True
conv_ai_ai_detective_gemini25flash_claudesonnet4_D2_1775425168,ai_ai_detective,gemini-2.5-flash,claude-sonnet-4,D2,20,0.0209,0.2428,0.8905,3.9789,0.2248,1.1,0.0277,0.0242,56.6132,ai,True
conv_ai_ai_detective_gemini25flash_claudesonnet4_D4_1775425309,ai_ai_detective,gemini-2.5-flash,claude-sonnet-4,D4,20,0.0092,0.2225,0.9108,3.8912,0.2352,1.05,0.0596,0.0652,153.4052,human,False
conv_ai_ai_detective_gemini25flash_llama4scout_D1_1775425098,ai_ai_detective,gemini-2.5-flash,llama-4-scout,D1,20,0.016,0.1813,0.4483,23.8211,0.2516,1.2,0.0368,0.0205,200.6033,ai,True
conv_ai_ai_detective_gemini25flash_llama4scout_D2_1775425042,ai_ai_detective,gemini-2.5-flash,llama-4-scout,D2,20,0.0161,0.1922,0.6412,-0.8877,0.2209,0.9,0.0568,0.0977,145.5656,ai,True
conv_ai_ai_detective_gemini25flash_llama4scout_D5_1775424986,ai_ai_detective,gemini-2.5-flash,llama-4-scout,D5,20,0.0641,0.206,0.5543,-15.0404,0.2383,0.9,0.045,0.1037,139.7491,ai,True
conv_ai_ai_detective_gpt54_claudesonnet4_D3_1775423795,ai_ai_detective,gpt-5.4,claude-sonnet-4,D3,20,0.0072,0.1197,1.1883,-7.7825,0.3583,0.6,0.0,0.0978,73.307,ai,True
conv_ai_ai_detective_gpt54_claudesonnet4_D5_1775420885,ai_ai_detective,gpt-5.4,claude-sonnet-4,D5,20,0.0105,0.1872,1.4358,-3.9702,0.2396,1.45,0.0148,0.061,59.0256,ai,True
conv_ai_ai_detective_gpt54_gemini25flash_D1_1775413562,ai_ai_detective,gpt-5.4,gemini-2.5-flash,D1,20,0.0133,0.1021,0.5286,-1.9018,0.4026,0.65,0.0667,0.0395,27.3958,ai,True
conv_ai_ai_detective_gpt54_gemini25flash_D4_1775413488,ai_ai_detective,gpt-5.4,gemini-2.5-flash,D4,20,0.0324,0.0887,0.576,-5.9246,0.4677,0.2,0.1136,0.138,39.9031,ai,True
conv_ai_ai_detective_gpt54mini_claudesonnet4_D1_1775412587,ai_ai_detective,gpt-5.4-mini,claude-sonnet-4,D1,20,0.015,0.1436,1.5004,0.114,0.2816,0.9,0.0297,-0.0327,52.8735,ai,True
conv_ai_ai_detective_gpt54mini_claudesonnet4_D1_1775413294,ai_ai_detective,gpt-5.4-mini,claude-sonnet-4,D1,20,0.0199,0.1286,1.0692,-7.9316,0.3157,0.85,0.039,0.0682,62.3728,ai,True
conv_ai_ai_detective_gpt54mini_claudesonnet4_D4_1775413179,ai_ai_detective,gpt-5.4-mini,claude-sonnet-4,D4,20,0.0128,0.1605,1.1035,-4.093,0.3113,1.05,0.0,0.0341,55.7271,ai,True
conv_ai_ai_detective_gpt54mini_claudesonnet4_D5_1775412134,ai_ai_detective,gpt-5.4-mini,claude-sonnet-4,D5,20,0.0029,0.1086,1.4669,2.0491,0.2615,1.6,0.0235,-0.0074,91.6079,,
conv_ai_ai_detective_gpt54mini_claudesonnet4_D5_1775413093,ai_ai_detective,gpt-5.4-mini,claude-sonnet-4,D5,20,0.0229,0.1315,1.2813,-5.2421,0.2854,0.7,0.029,0.068,44.7009,ai,True
conv_ai_ai_detective_gpt54mini_llama4scout_D1_1775413385,ai_ai_detective,gpt-5.4-mini,llama-4-scout,D1,20,0.1246,0.1403,0.854,-2.1719,0.281,0.25,0.0303,0.0362,39.1778,ai,True
conv_ai_ai_detective_gpt54mini_llama4scout_D4_1775413417,ai_ai_detective,gpt-5.4-mini,llama-4-scout,D4,20,0.0781,0.1567,0.9275,-4.3404,0.2696,0.2,0.0,-0.1345,41.8726,ai,True
conv_ai_ai_detective_gpt54mini_llama4scout_D5_1775413454,ai_ai_detective,gpt-5.4-mini,llama-4-scout,D5,20,0.1466,0.1978,0.4911,-0.4456,0.2007,0.25,0.0625,0.032,48.5183,ai,True
conv_ai_ai_detective_grok41fast_claudesonnet4_D3_1775425709,ai_ai_detective,grok-4-1-fast,claude-sonnet-4,D3,20,0.0027,0.14,0.6696,3.0649,0.3816,2.5,0.0167,-0.0317,48.5896,human,False
conv_ai_ai_detective_grok41fast_claudesonnet4_D4_1775425966,ai_ai_detective,grok-4-1-fast,claude-sonnet-4,D4,20,0.0073,0.1767,1.1305,5.3509,0.3068,2.4,0.0,0.0226,47.9436,ai,True
conv_ai_ai_detective_grok41fast_claudesonnet4_D5_1775425836,ai_ai_detective,grok-4-1-fast,claude-sonnet-4,D5,20,0.005,0.1332,1.0601,-2.8754,0.3628,1.6,0.0,0.0075,41.1178,ai,True
conv_ai_ai_freeform_claudesonnet4_gemini25flash_F1_1775427182,ai_ai_freeform,claude-sonnet-4,gemini-2.5-flash,F1,20,0.005,0.2131,1.0246,-7.1526,0.3128,0.75,0.0139,0.1914,65.6813,,
conv_ai_ai_freeform_claudesonnet4_gemini25flash_F2_1775427411,ai_ai_freeform,claude-sonnet-4,gemini-2.5-flash,F2,20,0.0068,0.2313,1.0865,10.3526,0.2431,2.65,0.0291,0.0237,78.7476,,
conv_ai_ai_freeform_claudesonnet4_gemini25flash_F3_1775427255,ai_ai_freeform,claude-sonnet-4,gemini-2.5-flash,F3,20,0.0101,0.3256,0.5155,-0.3439,0.2119,1.45,0.0292,0.0867,64.4511,,
conv_ai_ai_freeform_claudesonnet4_grok41fast_F1_1775427549,ai_ai_freeform,claude-sonnet-4,grok-4-1-fast,F1,20,0.0011,0.1585,0.7377,5.8404,0.3914,4.25,0.0,-0.0729,56.1721,,
conv_ai_ai_freeform_claudesonnet4_grok41fast_F2_1775427686,ai_ai_freeform,claude-sonnet-4,grok-4-1-fast,F2,20,0.0024,0.1505,0.8434,1.9228,0.3877,3.35,0.0138,-0.0269,49.6175,,
conv_ai_ai_freeform_claudesonnet4_grok41fast_F5_1775427835,ai_ai_freeform,claude-sonnet-4,grok-4-1-fast,F5,20,0.0013,0.1727,0.3473,1.5281,0.3486,4.05,0.0074,0.0141,51.7955,,
conv_ai_ai_freeform_gemini25flash_grok41fast_F1_1775428314,ai_ai_freeform,gemini-2.5-flash,grok-4-1-fast,F1,20,0.0043,0.125,0.6242,8.0702,0.3442,1.0,0.044,-0.0026,96.1557,,
conv_ai_ai_freeform_gemini25flash_grok41fast_F3_1775428210,ai_ai_freeform,gemini-2.5-flash,grok-4-1-fast,F3,20,0.0028,0.1453,0.219,-12.5088,0.3807,1.45,0.0093,0.0681,127.9433,,
conv_ai_ai_freeform_gemini25flash_grok41fast_F5_1775428397,ai_ai_freeform,gemini-2.5-flash,grok-4-1-fast,F5,20,0.0028,0.1585,0.9107,7.3982,0.3452,2.9,0.0187,0.0612,111.3333,,
conv_ai_ai_freeform_gpt54_claudesonnet4_F1_1775424074,ai_ai_freeform,gpt-5.4,claude-sonnet-4,F1,20,0.007,0.211,1.2151,45.6526,0.1748,5.25,0.0258,-0.0057,461.3808,,
conv_ai_ai_freeform_gpt54_claudesonnet4_F2_1775424513,ai_ai_freeform,gpt-5.4,claude-sonnet-4,F2,20,0.0055,0.23,1.4401,9.1175,0.1854,2.9,0.0096,-0.0125,103.1821,,
conv_ai_ai_freeform_gpt54_claudesonnet4_F3_1775424861,ai_ai_freeform,gpt-5.4,claude-sonnet-4,F3,20,0.0052,0.1748,0.8368,26.8351,0.2629,2.4,0.0124,-0.0672,191.5847,,
conv_ai_ai_freeform_gpt54_gemini25flash_F2_1775425241,ai_ai_freeform,gpt-5.4,gemini-2.5-flash,F2,20,0.0053,0.2121,0.8714,22.9439,0.2118,1.5,0.0346,-0.0241,206.6562,,
conv_ai_ai_freeform_gpt54_gemini25flash_F3_1775425409,ai_ai_freeform,gpt-5.4,gemini-2.5-flash,F3,20,0.0054,0.1841,0.5109,40.5263,0.2221,2.7,0.0131,-0.0676,262.9485,,
conv_ai_ai_freeform_gpt54_gemini25flash_F4_1775425660,ai_ai_freeform,gpt-5.4,gemini-2.5-flash,F4,20,0.0035,0.0951,0.2414,27.3719,0.233,3.9,0.0107,0.027,529.2459,,
conv_ai_ai_freeform_gpt54_grok41fast_F1_1775426738,ai_ai_freeform,gpt-5.4,grok-4-1-fast,F1,20,0.003,0.1659,0.284,22.4825,0.337,3.8,0.0059,0.0473,152.2185,,
conv_ai_ai_freeform_gpt54_grok41fast_F2_1775426899,ai_ai_freeform,gpt-5.4,grok-4-1-fast,F2,20,0.0043,0.1591,0.5927,34.9561,0.2906,7.4,0.0082,-0.1087,272.3275,,
conv_ai_ai_freeform_gpt54_grok41fast_F4_1775426489,ai_ai_freeform,gpt-5.4,grok-4-1-fast,F4,20,0.0046,0.1468,0.1919,35.5877,0.3337,3.9,0.0031,0.067,222.4571,,
conv_ai_ai_freeform_gpt54mini_claudesonnet4_F1_1775423348,ai_ai_freeform,gpt-5.4-mini,claude-sonnet-4,F1,20,0.0082,0.2061,1.6492,10.5175,0.2639,1.6,0.0095,0.0629,62.3822,,
conv_ai_ai_freeform_gpt54mini_claudesonnet4_F3_1775413536,ai_ai_freeform,gpt-5.4-mini,claude-sonnet-4,F3,20,0.0103,0.1494,0.3857,8.8702,0.2929,0.95,0.017,-0.0271,99.2938,,
conv_ai_ai_freeform_gpt54mini_claudesonnet4_F5_1775413376,ai_ai_freeform,gpt-5.4-mini,claude-sonnet-4,F5,20,0.0078,0.1998,1.2095,11.4825,0.255,2.25,0.0078,-0.0047,69.3907,,
conv_ai_ai_freeform_gpt54mini_gemini25flash_F1_1775423537,ai_ai_freeform,gpt-5.4-mini,gemini-2.5-flash,F1,20,0.0104,0.1794,0.6856,20.993,0.2697,1.15,0.008,-0.0115,172.9657,,
conv_ai_ai_freeform_gpt54mini_gemini25flash_F3_1775423445,ai_ai_freeform,gpt-5.4-mini,gemini-2.5-flash,F3,20,0.009,0.183,0.2688,3.6228,0.2402,0.4,0.0175,0.0163,111.1975,,
conv_ai_ai_freeform_gpt54mini_gemini25flash_F5_1775423633,ai_ai_freeform,gpt-5.4-mini,gemini-2.5-flash,F5,20,0.127,0.1643,0.4898,16.0474,0.1604,0.95,0.0086,-0.0297,232.6525,,
conv_ai_ai_freeform_gpt54mini_gpt54_F1_1775413091,ai_ai_freeform,gpt-5.4-mini,gpt-5.4,F1,20,0.0068,0.1661,1.1714,19.8088,0.2506,0.65,0.011,-0.1156,242.593,,
conv_ai_ai_freeform_gpt54mini_gpt54_F2_1775411257,ai_ai_freeform,gpt-5.4-mini,gpt-5.4,F2,20,0.0027,0.1451,1.2303,-6.1596,0.3424,1.0,0.0,-0.0941,68.6596,,
conv_ai_ai_freeform_gpt54mini_gpt54_F2_1775411981,ai_ai_freeform,gpt-5.4-mini,gpt-5.4,F2,20,0.0034,0.2058,1.1013,9.3368,0.2533,1.6,0.0,0.0155,73.1529,,
conv_ai_ai_freeform_gpt54mini_gpt54_F3_1775413169,ai_ai_freeform,gpt-5.4-mini,gpt-5.4,F3,20,0.0131,0.1724,0.2169,-1.0842,0.2881,0.15,0.0,-0.0116,54.6705,,
conv_ai_ai_freeform_gpt54mini_gpt54_F5_1775413262,ai_ai_freeform,gpt-5.4-mini,gpt-5.4,F5,20,0.0069,0.2324,0.9877,11.1316,0.2224,0.9,0.0,-0.0361,95.3361,,
conv_ai_ai_freeform_gpt54mini_grok41fast_F3_1775423867,ai_ai_freeform,gpt-5.4-mini,grok-4-1-fast,F3,20,0.0081,0.1273,0.1178,-0.307,0.3781,2.15,0.012,0.0506,74.1012,,
conv_ai_ai_freeform_gpt54mini_grok41fast_F4_1775423710,ai_ai_freeform,gpt-5.4-mini,grok-4-1-fast,F4,20,0.0053,0.1143,0.3561,-0.7246,0.4298,1.95,0.0,0.0555,28.4491,,
conv_ai_ai_freeform_gpt54mini_grok41fast_F5_1775423794,ai_ai_freeform,gpt-5.4-mini,grok-4-1-fast,F5,20,0.0063,0.1264,0.3453,-0.4386,0.3621,0.8,0.0,0.0532,61.3337,,
conv_ai_ai_freeform_gpt54mini_llama4scout_F1_1775423947,ai_ai_freeform,gpt-5.4-mini,llama-4-scout,F1,20,0.0118,0.2258,1.4662,10.7474,0.1947,1.35,0.0081,-0.0976,82.2961,,
conv_ai_ai_freeform_gpt54mini_llama4scout_F2_1775423993,ai_ai_freeform,gpt-5.4-mini,llama-4-scout,F2,20,0.0132,0.2201,1.1924,7.1333,0.2098,1.4,0.0,-0.007,78.051,,
conv_ai_ai_freeform_gpt54mini_llama4scout_F5_1775424038,ai_ai_freeform,gpt-5.4-mini,llama-4-scout,F5,20,0.013,0.2817,1.4896,-8.914,0.2565,0.8,0.0115,0.1506,73.5287,,
conv_ai_ai_freeform_persona_claudesonnet4_gemini25flash_F2_1775424633,ai_ai_freeform_persona,claude-sonnet-4,gemini-2.5-flash,F2,20,0.0022,0.155,0.5291,-5.4912,0.3942,0.6,0.0,0.0301,43.4073,,
conv_ai_ai_freeform_persona_claudesonnet4_gemini25flash_F4_1775424748,ai_ai_freeform_persona,claude-sonnet-4,gemini-2.5-flash,F4,20,0.0024,0.1443,0.9606,-0.0684,0.3684,1.4,0.0625,0.0542,38.9442,,
conv_ai_ai_freeform_persona_claudesonnet4_gemini25flash_F5_1775424545,ai_ai_freeform_persona,claude-sonnet-4,gemini-2.5-flash,F5,20,0.0012,0.1711,0.9901,1.0158,0.367,0.75,0.0,-0.1443,19.6957,,
conv_ai_ai_freeform_persona_claudesonnet4_grok41fast_F2_1775425124,ai_ai_freeform_persona,claude-sonnet-4,grok-4-1-fast,F2,20,0.0008,0.1108,0.2203,0.2842,0.4192,1.05,0.0,0.076,31.919,,
conv_ai_ai_freeform_persona_claudesonnet4_grok41fast_F3_1775424909,ai_ai_freeform_persona,claude-sonnet-4,grok-4-1-fast,F3,20,0.0011,0.1268,0.4802,1.4439,0.416,1.05,0.0,-0.0474,33.4684,,
conv_ai_ai_freeform_persona_claudesonnet4_grok41fast_F5_1775425024,ai_ai_freeform_persona,claude-sonnet-4,grok-4-1-fast,F5,20,0.0014,0.1453,0.406,1.3193,0.431,1.75,0.0,-0.0464,24.7308,,
conv_ai_ai_freeform_persona_gemini25flash_grok41fast_F1_1775425610,ai_ai_freeform_persona,gemini-2.5-flash,grok-4-1-fast,F1,20,0.0012,0.1159,0.597,0.6351,0.4587,1.0,0.0893,-0.064,25.7765,,
conv_ai_ai_freeform_persona_gemini25flash_grok41fast_F2_1775425536,ai_ai_freeform_persona,gemini-2.5-flash,grok-4-1-fast,F2,20,0.0019,0.1229,0.4112,1.7421,0.4161,1.2,0.0,0.1106,24.5557,,
conv_ai_ai_freeform_persona_gemini25flash_grok41fast_F4_1775425470,ai_ai_freeform_persona,gemini-2.5-flash,grok-4-1-fast,F4,20,0.0039,0.1541,0.4087,-1.9614,0.4319,0.55,0.0,0.1198,13.1402,,
conv_ai_ai_freeform_persona_gpt54_claudesonnet4_F1_1775423860,ai_ai_freeform_persona,gpt-5.4,claude-sonnet-4,F1,20,0.0024,0.1457,0.9967,-0.5982,0.3721,0.5,0.0,-0.0797,35.3795,,
conv_ai_ai_freeform_persona_gpt54_claudesonnet4_F2_1775423755,ai_ai_freeform_persona,gpt-5.4,claude-sonnet-4,F2,20,0.0003,0.1474,0.625,-4.4368,0.4039,0.6,0.0,0.1046,32.8865,,
conv_ai_ai_freeform_persona_gpt54_claudesonnet4_F4_1775423636,ai_ai_freeform_persona,gpt-5.4,claude-sonnet-4,F4,20,0.0014,0.1663,0.6173,-1.1842,0.3673,0.55,0.0094,-0.0736,38.9281,,
conv_ai_ai_freeform_persona_gpt54_gemini25flash_F2_1775424000,ai_ai_freeform_persona,gpt-5.4,gemini-2.5-flash,F2,20,0.0059,0.158,0.9412,0.1281,0.3671,0.6,0.0217,0.0463,17.6905,,
conv_ai_ai_freeform_persona_gpt54_gemini25flash_F4_1775424122,ai_ai_freeform_persona,gpt-5.4,gemini-2.5-flash,F4,20,0.0023,0.1589,1.1659,0.2614,0.4009,0.55,0.0,0.0733,8.3752,,
conv_ai_ai_freeform_persona_gpt54_gemini25flash_F5_1775424063,ai_ai_freeform_persona,gpt-5.4,gemini-2.5-flash,F5,20,0.0036,0.1253,1.4911,1.1719,0.425,0.45,0.0638,-0.0161,19.8623,,
conv_ai_ai_freeform_persona_gpt54_grok41fast_F2_1775424182,ai_ai_freeform_persona,gpt-5.4,grok-4-1-fast,F2,20,0.0009,0.135,0.6098,0.7263,0.4329,0.85,0.0,0.0361,17.8627,,
conv_ai_ai_freeform_persona_gpt54_grok41fast_F3_1775424338,ai_ai_freeform_persona,gpt-5.4,grok-4-1-fast,F3,20,0.0014,0.1305,0.5513,-0.3175,0.4741,0.7,0.0,0.0543,9.4511,,
conv_ai_ai_freeform_persona_gpt54_grok41fast_F5_1775424263,ai_ai_freeform_persona,gpt-5.4,grok-4-1-fast,F5,20,0.0008,0.1247,0.6726,-0.7105,0.454,0.65,0.0,0.2718,14.3448,,
conv_ai_ai_freeform_persona_gpt54_llama4scout_F1_1775424409,ai_ai_freeform_persona,gpt-5.4,llama-4-scout,F1,20,0.0074,0.1529,0.4608,-0.4281,0.377,0.85,0.0,0.0694,12.1824,,
conv_ai_ai_freeform_persona_gpt54_llama4scout_F3_1775424454,ai_ai_freeform_persona,gpt-5.4,llama-4-scout,F3,20,0.0071,0.1284,1.0091,-0.3035,0.4188,0.5,0.0,-0.1586,7.3356,,
conv_ai_ai_freeform_persona_gpt54_llama4scout_F5_1775424497,ai_ai_freeform_persona,gpt-5.4,llama-4-scout,F5,20,0.0084,0.1385,1.0375,-0.2193,0.3695,0.25,0.0,0.0084,11.9024,,
conv_ai_ai_freeform_persona_gpt54mini_claudesonnet4_F1_1775413438,ai_ai_freeform_persona,gpt-5.4-mini,claude-sonnet-4,F1,20,0.0032,0.1492,1.5072,2.7246,0.3676,0.7,0.0,-0.0497,26.2777,,
conv_ai_ai_freeform_persona_gpt54mini_claudesonnet4_F4_1775413250,ai_ai_freeform_persona,gpt-5.4-mini,claude-sonnet-4,F4,20,0.0029,0.1599,0.9326,2.314,0.3409,0.4,0.0,-0.003,24.9298,,
conv_ai_ai_freeform_persona_gpt54mini_claudesonnet4_F5_1775413341,ai_ai_freeform_persona,gpt-5.4-mini,claude-sonnet-4,F5,20,0.0012,0.1604,1.3058,1.9456,0.3471,1.05,0.0,0.0271,19.8981,,
conv_ai_ai_freeform_persona_gpt54mini_gemini25flash_F3_1775413577,ai_ai_freeform_persona,gpt-5.4-mini,gemini-2.5-flash,F3,20,0.0025,0.16,0.959,-0.3737,0.4019,0.45,0.0,-0.0316,10.6833,,
conv_ai_ai_freeform_persona_gpt54mini_gemini25flash_F4_1775423293,ai_ai_freeform_persona,gpt-5.4-mini,gemini-2.5-flash,F4,20,0.0028,0.1537,1.1191,0.6579,0.3933,0.65,0.0,0.0542,15.6616,,
conv_ai_ai_freeform_persona_gpt54mini_gemini25flash_F5_1775413525,ai_ai_freeform_persona,gpt-5.4-mini,gemini-2.5-flash,F5,20,0.009,0.1335,1.0917,2.0298,0.3384,0.4,0.0,0.0728,24.6361,,
conv_ai_ai_freeform_persona_gpt54mini_gpt54_F1_1775413144,ai_ai_freeform_persona,gpt-5.4-mini,gpt-5.4,F1,20,0.0046,0.1603,0.9615,-0.3053,0.4263,0.4,0.0,-0.0094,7.416,,
conv_ai_ai_freeform_persona_gpt54mini_gpt54_F2_1775413194,ai_ai_freeform_persona,gpt-5.4-mini,gpt-5.4,F2,20,0.0057,0.1894,0.8071,-1.0421,0.364,0.3,0.0,0.0042,14.1108,,
conv_ai_ai_freeform_persona_gpt54mini_gpt54_F3_1775411873,ai_ai_freeform_persona,gpt-5.4-mini,gpt-5.4,F3,20,0.0015,0.1426,0.8658,-0.286,0.4365,0.25,0.0,-0.0599,10.4394,,
conv_ai_ai_freeform_persona_gpt54mini_gpt54_F3_1775412079,ai_ai_freeform_persona,gpt-5.4-mini,gpt-5.4,F3,20,0.0071,0.1786,1.7127,-1.0333,0.4006,0.2,0.0833,-0.0377,8.5629,,
conv_ai_ai_freeform_persona_gpt54mini_gpt54_F5_1775413092,ai_ai_freeform_persona,gpt-5.4-mini,gpt-5.4,F5,20,0.002,0.1698,1.1617,0.0825,0.3785,0.5,0.0,0.0845,9.7401,,
conv_ai_ai_freeform_persona_gpt54mini_grok41fast_F1_1775423345,ai_ai_freeform_persona,gpt-5.4-mini,grok-4-1-fast,F1,20,0.0044,0.1441,0.7361,0.1842,0.429,0.8,0.0,-0.0361,14.7729,,
conv_ai_ai_freeform_persona_gpt54mini_grok41fast_F2_1775423400,ai_ai_freeform_persona,gpt-5.4-mini,grok-4-1-fast,F2,20,0.0007,0.1426,0.9917,0.9035,0.4132,0.65,0.0,-0.0516,15.0572,,
conv_ai_ai_freeform_persona_gpt54mini_grok41fast_F3_1775423465,ai_ai_freeform_persona,gpt-5.4-mini,grok-4-1-fast,F3,20,0.0059,0.1176,0.6863,0.2614,0.4324,0.55,0.0,-0.0467,16.9652,,
conv_ai_ai_freeform_persona_gpt54mini_llama4scout_F2_1775423565,ai_ai_freeform_persona,gpt-5.4-mini,llama-4-scout,F2,20,0.0073,0.1655,1.2019,-0.2789,0.3654,0.2,0.0175,0.1324,10.5174,,
conv_ai_ai_freeform_persona_gpt54mini_llama4scout_F3_1775423600,ai_ai_freeform_persona,gpt-5.4-mini,llama-4-scout,F3,20,0.007,0.1623,0.8505,0.1649,0.3366,0.65,0.0159,0.1076,10.3864,,
conv_ai_ai_freeform_persona_gpt54mini_llama4scout_F4_1775423530,ai_ai_freeform_persona,gpt-5.4-mini,llama-4-scout,F4,20,0.0073,0.1597,0.6012,-0.1649,0.3657,0.3,0.0,0.2219,12.2906,,
